Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,year
426,Zach Collins,27,SAS,C,36,4,11.8,1.7,3.7,.462,0.4,1.3,.304,1.3,2.4,.547,.515,0.9,1.0,.886,1.1,1.8,2.8,1.4,0.4,0.4,0.6,1.9,4.6,,2025
427,Zach Collins,27,CHI,PF,1,0,12.0,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,,.750,2.0,2.0,1.000,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,,2025
428,Mo Bamba,26,LAC,C,28,2,12.6,1.7,3.7,.466,0.5,1.8,.300,1.2,1.9,.623,.539,0.6,0.9,.680,0.9,3.4,4.3,0.6,0.3,1.0,0.7,1.8,4.6,,2025
429,Charles Bassey,24,SAS,C,32,1,10.8,2.0,3.4,.573,0.0,0.0,,2.0,3.4,.573,.573,0.7,1.0,.636,1.7,2.8,4.6,0.4,0.4,0.9,0.7,1.4,4.6,,2025
430,Trevelin Queen,27,ORL,SG,24,2,15.0,1.7,4.8,.353,0.7,2.6,.258,1.0,2.3,.463,.422,0.5,0.6,.867,0.8,0.9,1.8,1.4,1.0,0.3,0.8,1.5,4.6,,2025
431,Trentyn Flowers,19,LAC,SF,2,0,8.0,2.0,4.5,.444,0.0,1.0,.000,2.0,3.5,.571,.444,0.5,0.5,1.000,0.5,1.5,2.0,0.0,0.0,0.0,0.5,1.5,4.5,,2025
432,Jett Howard,21,ORL,SF,45,0,11.2,1.6,4.3,.370,1.0,3.1,.319,0.6,1.2,.500,.484,0.3,0.4,.833,0.4,0.8,1.2,0.7,0.2,0.2,0.5,1.0,4.5,,2025
433,Sandro Mamukelashvili,25,SAS,PF,33,0,8.0,1.6,2.8,.564,0.7,1.7,.436,0.9,1.2,.744,.691,0.6,0.8,.704,0.6,1.7,2.3,0.5,0.2,0.2,0.4,0.6,4.5,,2025
434,David Roddy,23,ATL,PF,27,3,12.8,1.6,3.4,.473,0.6,1.6,.372,1.0,1.9,.560,.559,0.7,0.8,.818,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.7,4.5,,2025
435,Malaki Branham,21,SAS,SG,31,0,9.3,1.6,3.6,.434,0.7,1.7,.396,0.9,1.9,.467,.527,0.5,0.6,.850,0.1,1.0,1.1,0.8,0.2,0.1,0.9,0.5,4.4,,2025
